r_r_VM,Time
0.514076049,449.5543912
0.56605647,449.9476043
0.565315288,450.3408175
0.513124886,450.7340306
0.415085458,451.1272438
0.281888651,451.5204569
0.127871049,451.9136701
-0.034057404,452.3068832
-0.195337585,452.7000963
-0.346737824,453.0933095
-0.476849695,453.4865226
-0.588381884,453.8797358
-0.693997265,454.2729489
-0.792038977,454.666162
-0.869307301,455.0593752
-0.90425797,455.4525883
-0.873244388,455.8458015
-0.776839496,456.2390146
-0.63953432,456.6322277
-0.48167531,457.0254409
-0.311132986,457.418654
-0.13309289,457.8118672
0.046407236,458.2050803
0.221271558,458.5982935
0.387219287,458.9915066
0.54189982,459.3847197
0.673906688,459.7779329
0.760611114,460.171146
0.792615093,460.5643592
0.773009866,460.9575723
0.703833518,461.3507854
